(^|\s|\()Canine kobuvirus($|\s|\)|);aichivirus A2
(^|\s|\()Murine kobuvirus($|\s|\)|);aichivirus A3_A8
(^|\s|\()Feline kobuvirus($|\s|\)|);aichivirus A4
(^|\s|\()Roller kobuvirus($|\s|\)|);aichivirus A5
(^|\s|\()[Rr]at kobuvirus($|\s|\)|);aichivirus A6_A9_A10
(^|\s|\()Bovine kobuvirus($|\s|\)|);aichivirus B1
(^|\s|\()Ferret kobuvirus($|\s|\)|);aichivirus B2
(^|\s|\()Ovine kobuvirus($|\s|\)|);aichivirus B3
(^|\s|\()Porcine kobuvirus($|\s|\)|);aichivirus C1
(^|\s|\()Caprine kobuvirus($|\s|\)|);aichivirus C2
(^|\s|\()Rabbit kobuvirus($|\s|\)|);aichivirus E1
(^|\s|\()Bat kobuvirus($|\s|\)|);aichivirus F1
(^|\s|\()Kobuvirus bejaponia($|\s|\)|);aichivirus B
(^|\s|\()Kobuvirus cebes($|\s|\)|);aichivirus C
(^|\s|\()Kobuvirus dekago($|\s|\)|);aichivirus D
(^|\s|\()Kobuvirus ecuni($|\s|\)|);aichivirus E
(^|\s|\()Kobuvirus femyomini($|\s|\)|);aichivirus F
