Run,BioProject,geo_loc_name_country,HOST
SRR6202127,PRJNA415003,United Kingdom,Rhinolophus ferrumequinum
SRR22460267,PRJNA906729,Russia,Rhinolophus hipposideros
SRR25884626,PRJNA997461,China,Hipposideros larvatus
SRR25884681,PRJNA997461,China,Rousettus leschenaultii
SRR25884743,PRJNA997461,China,Rhinolophus affinis
SRR25884871,PRJNA997461,China,Hipposideros pomona
SRR31341449,PRJNA1185808,China,Bat
SRR31341451,PRJNA1185808,China,Bat
SRR33227722,PRJNA1253095,Russia,Vespertilio murinus
SRR33693691,PRJNA1267097,Cambodia,Rhinolophus shameli
SRR31363914,PRJNA1185806,Nigeria,Eidolon helvum (Straw-coloured fruit bat)
SRR31363915,PRJNA1185806,Nigeria,Eidolon helvum (Straw-coloured fruit bat)
SRR31861041,PRJNA1204523,Finland,Nathusius bat
SRR31861042,PRJNA1204523,Finland,Nathusius bat
SRR14381427,PRJNA707649,China,Rhinolophus stheno
SRR14381429,PRJNA707649,China,Rhinolophus malayanus
SRR25921359,PRJNA1013252,South Korea,R. ferrumequinum
SRR28331456,PRJNA1087330,Uganda,
SRR15534018,PRJNA755866,Russia,Bat
SRR30793080,PRJNA1162723,Portugal,Myotis myotis
SRR30793086,PRJNA1162723,Portugal,Myotis myotis
SRR30851198,PRJNA1162723,Portugal,Myotis myotis
SRR27912338,PRJNA1074704,Spain,Myotis bechsteinii
SRR33769951,PRJNA1269778,Spain,Chiroptera
SRR33769967,PRJNA1269778,Spain,Chiroptera
SRR33769985,PRJNA1269778,Spain,Chiroptera
SRR33769988,PRJNA1269778,Spain,Chiroptera
ERR14656588,PRJEB76898,Spain,
ERR14656781,PRJEB76898,Spain,
SRR35698030,PRJNA1336996,South Korea,Murina leucogaster
SRR14860598,PRJNA739024,USA,Desmodus rotundus
SRR14860612,PRJNA739024,Panama,Desmodus rotundus
SRR14860657,PRJNA739024,Panama,Desmodus rotundus
SRR14860678,PRJNA739024,Panama,Desmodus rotundus
SRR14860680,PRJNA739024,Panama,Desmodus rotundus
SRR17578398,PRJNA795992,Sweden,Myotis daubentonii
SRR13494270,PRJNA693645,Switzerland,Myotis myotis
SRR13494277,PRJNA693645,Switzerland,Myotis myotis
SRR13494286,PRJNA693645,Switzerland,Myotis myotis
SRR13380247,PRJNA689713,Thailand,Rhinolophus acuminatus
ERR3179227,PRJEB6505,,
ERR3179766,PRJEB6505,,
SRR10023928,PRJNA562472,Gabon,Macronycteris gigas
SRR8478056,PRJNA516387,Cambodia,Pteropus lylei
SRR24146889,PRJNA954561,uncalculated,Myotis pilosus
SRR24113223,PRJNA953205,China,Rhinolophus_sinicus
SRR23314744,PRJNA930603,United Kingdom,Myotis daubentonii
SRR23314746,PRJNA930603,United Kingdom,Rhinolophus hipposideros
SRR19115553,PRJNA835632,Switzerland,Myotis myotis
SRR19115554,PRJNA835632,Switzerland,Myotis myotis
SRR19790899,PRJNA851532,Australia,Pteropus poliocephalus
SRR19790907,PRJNA851532,Australia,Pteropus poliocephalus
SRR19790908,PRJNA851532,Australia,Pteropus poliocephalus
SRR18969464,PRJNA833201,South Korea,Rhinolophus ferrumequinum
